id,type,front,back,known
303,1,"Is Diffie-Hellman key exchange perfect?","No. A man in the middle can intercept one side, and communicate with parties A and B independently.",0
304,1,"How is RSA (using product of large primes) better than using NP-Complete algorithms for encryption?","NP-Complete algorithms are hard in the worst case, but can be sometimes solved in linear time in the average case. Compositing the product of large primes is hard in the average case.",0
305,1,"What is Vigenere cipher?","Improvement on Caesar cipher. Letters are shifted based on a shifted dictionary. ""Polyalphabetic cipher""",0
306,1,"What is a one-time pad encryption?","The ""perfect"" simple encryption scheme. Pad/key is the same size as the message being encrypted. The key is randomly generated and xored against the plain text. Or key used to determine the amount each letter should be shifted.",0
307,1,"What is block size in cryptography?","Symmetric key ciphers are generally divided into stream ciphers and block ciphers. Block ciphers operate on a fixed length string of bits. The length of this bit string is the block size. Both the input (plaintext) and output (ciphertext) are the same length; the output cannot be shorter than the input – this is logically required by the Pigeonhole principle and the fact that the cipher must be invertible – and it is simply undesirable for the output to be longer than the input.",0
308,1,"What is the limiting factor of compression?","For lossless compression, it's entropy. For lossy compression, it's our acceptance with the amount of loss.",0
309,1,"What is LZ* compression based on?","Cataloging the positions and lengths of redundant patterns and combining the values with a dictionary.",0
310,1,"What is LZMA?","It's a variant of LZ77 that uses Markov chains. It's used in the 7z compression algorithms used in 7-zip.",0
311,1,"What is DEFLATE?","It's an lossless compression algorithm based on LZ77 used in Gzip, WinZip, and mod_deflate, which is bundled with Apache web server for automated gzip compression of HTTP served content. It uses LZ77 and Huffman coding.",0
312,1,"How does LZ77-based compression work?","LZ77 is a dictionary encoding algorithm, which is a statistical encoding algorithm. Compression in the LZ77 algorithm is based on the notion that strings of characters (words, phrases, etc.) occur repeatedly in the message being compressed.

The input is partitioned into 2 segments: a search buffer and a look-ahead buffer. The search buffer maxes out at 32KB. Starting with one character in the LA buffer, it looks back in the search buffer to find a copy of the symbol. If one is found, it looks at the second symbol of the LA buffer to see if it also matches the predecessor. Using this method, it can detect long phrases of symbols and encode them as one unit.

This process implicitly creates a rolling statistical probability for each symbol/phrase.",0
313,1,"What is Huffman encoding?","Huffman encoding algorithm analyzes the occurrence of individual symbols and creates a binary tree where the common symbols are closest to the root, using fewer bits to encode, and less common/rare symbols have longer paths on the tree, with longer encodings to accommodate. By traversing the tree, from root to leaf, and keeping track of 1 or 0 at each node, we can determine the encoding of the symbol.",0
314,1,"What is the primary factor of compression?","Probability of redundant portions of input.",0
315,1,"How can you maximize compression?","By deeply analyzing the given input to reduce redundancy as much as possible.",0
316,1,"What compression scheme uses Burrows-Wheeler transform?",BZip2,0
317,1,"What is the Burrows-Wheeler transform?","It's a compression method involving the sorting of all possible rotations of the input text into lexicographic order. Take as output the last column and the index of the row that the original text appears in. 

To decode, take the single column and repeatedly add the final columns characters to each of the rows, sorting each time. Once you've reached the length of the column's height, use the index to find the output string.",0
318,1,"For Gzip in web servers, what is the usual setting?",6,0
319,1,"What is the min and max compression settings in command line gzip?",0-9,0
320,1,"How can you make JSON better compressable with Gzip?","Transpose from multiple mini-dicts into one dict with arrays as the values. This allows the items in an array to fit within the 32KB search buffer common to LZ-based compression.",0
321,1,"What are Dense Codes?","A way to put symbols or words into a dictionary or array, and use the indices as the values in the text to save space so that words are not repeated.",0
322,1,"What is the LZ in LZ compression?",Lempel-Ziv,0
323,1,"What is OS hardware virtualization?","The abstraction of heterogeneous hardware provided by the operating system, to hide the details of interfacing with various hardware so that they share a common interface for that type.",0
324,1,"What is a process?","An instance of an executing program consisting of an address space and one or more threads of control. It has restricted rights. It owns a region of memory. It owns file descriptors, file system context. It encapsulates one or more threads sharing the process' resources. It is isolated from other processes.",0
325,1,"What is a context switch?","The copying out and in of register state to switch from running one process to running another.",0
326,1,"What is the scheduler?","The scheduler manages the priorities of user and OS processes.",0
327,1,"What causes operating systems to crash most of the time?","Device drivers. They are in the kernel and very low level. They have access to all the hardware, including memory. They are written by authors outside of the operating system.",0
328,1,"What is a process VM?","A virtual environment that supports the execution of a single program. This is provided by an operating system.",0
329,1,"What is a system VM?","A virtual environment that supports the execution of an entire operating system and its applications.",0
330,1,"How does the OS abstract the environment for a process?","Each process thinks it has all the memory and CPU time, and thinks it owns all devices.",0
331,1,"What is fault isolation?","Processes are unable to directly impact other processes. Bugs can't crash the whole machine.",0
332,1,"What is a thread?","A single, unique execution context.",0
333,1,"What's the maximum address in memory for a 32 bit processor?","2^32 - 1",0
334,1,"What is the execution sequence for a program?","- Fetch instruction
- Decode
- Execute (perhaps using ALU and writing result to a register)
- Write results to registers or memory
- Increment program counter
- Repeat",0
335,1,"What does the program counter point to?","An address in memory that contains the current instruction.",0
336,1,"What is the stack pointer?","A register that holds the address of the top of the stack portion of a process' memory.",0
337,1,"What is the heap pointer?","A register that holds the address of the top of the heap portion of a process' memory.",0
338,1,"What is multiprogramming?","Making one processor appear as multiple processors, each handling one process each.",0
339,1,"What triggers a context switch?","Timer interrupt, hardware interrupt, I/O where we're waiting for a read or write to complete (OS doesn't want to waste time waiting), voluntary yield.",0
340,1,"What is dual-mode operation?","Hardware provides at least 2 modes: user mode and kernel (aka: supervisor, protected) mode.",0
341,1,"How does the OS run a program?","It does an exec from kernel mode (system mode 1). We go to system mode 0, user mode. When the program exits, we switch back to kernel mode.",0
342,1,"How does a user program interact with the kernel?","It makes a system call, and the kernel takes over, completes the action, and the kernel returns to the process (back to user mode).",0
343,1,"What happens when the hardware needs something to happen?","It does an interrupt, and the kernel takes control, switches the process, and once hardware task is complete, does a return from interrupt back to user mode.",0
344,1,"What happens when a program makes an exception?","The program terminates, and switches to kernel mode.",0
345,1,"What is base and bound?","It's a memory addressing restriction where a processes are only allowed access to the memory between a base address and the bound + base addresses. Each process has its own base and bound. A drawback is you don't get address 0. Address translation fixes this.",0
346,1,"How does the OS know how to handle an interrupt?","It keeps an interrupt vector in the memory of the OS. Each interrupt type is mapped to an address to execute. They are just pointers to code in the OS.",0
347,1,"What is the difference between PC and uPC?","PC is the program counter for the current process. uPC is the PC of the user process we will return to once an interrupt or other OS process switches context.",0
348,1,"How are base and bound enforced?","They are stored in registers. Access is restricted by the hardware.",0
349,1,"How does x86 do segments and stacks?","Each process' individual segments (heap, stack, code, static data) get their own base and bound. They don't even need to be adjacent in memory and their location is hidden by memory addressing.",0
350,1,"When a process forks, what happens?","The process is paused, and a complete copy is made: code, stack, heap, data, program counter and registers.
The child and parent resume with returning from fork syscall.",0
351,1,"What does fork() return?","It returns the child process id to the parent, and 0 to the child. < 0 if error.",0
352,1,"What does wait() do?","Causes the parent process to pause until the child terminates.",0
353,1,"What does exec() do?","It's a system call to change the currently running program to something else.",0
354,1,"What comes back from wait()?","on success, returns the process ID of the terminated child; on error, -1 is returned.",0
355,1,"What is a signal?","A system call to send a notification to another process.",0
356,1,"In a child process, what can you do with fork and then exec?","Create a completely new process and then exit.",0
357,1,"What is a shell?","A job control program. It allows a programmer to create and manage a set of programs to do some task.",0
358,1,"What is a microsecond? Also known as μs","1 millionth of a second.",0
359,1,"What is a nanosecond?","1 billionth of a second. ns",0
360,1,"What is a picosecond?","A trillionth of a second.",0
361,1,"How does the kernel handle reads and writes?","It buffers reads so they can be handled as a stream in your program. Writes are buffered and are not written until the kernel flushes the buffer.",0
362,1,"What's the difference between the fread, read, fwrite, write I/O calls?","The ones with f are high-level I/O and streamed and buffered by the kernel. The non-f are low-level I/O.",0
363,1,"When a system call is made, where are parameters stored?","In registers.",0
364,1,"What is a socket?","It's an abstraction of a network I/O queue.  It's a method of communication where a producer writes to one side, and a consumer reads from the other side. It's similar to writing and reading a file, but no file is involved.",0
365,1,"What sockets are in modern use?","Local sockets to local machine, called UNIX sockets, and TCP/IP and UDP/IP.",0
366,1,"What is the GIL?","It's the Global Interpreter Lock. It's is a part of CPython. It ensures only one thread runs in the interpreter at once. Having the GIL simplifies many low-level details (memory management, callouts to C extensions, etc.)",0
367,1,"When is the GIL released?","During I/O (disk IO, network IO, output to display) including when a thread uses sleep.",0
368,1,"What is a ""tick"" in CPython?","Approximately 1 machine instruction.",0
369,1,"What happens every 100 ""ticks"" in the CPython interpreter?","A thread check occurs during which the thread releases the GIL then attempts to reacquire it. Other Python threads will contend for the the GIL. This is no longer the case in 3.4.",0
370,1,"What is a lock in CPython?","It's a binary semaphore. It's not a mutex lock.",0
371,1,"What happens when the heap gets too large?","It does a page fault, and the kernel will allocate more memory.",0
372,1,"What happens when the heap and stack meet in memory?","A guard page is hit and the process is killed.",0
373,1,"Where is information about a process stored?","In a PCB (process control block).",0
374,1,"Where is information about a thread stored?","In a TCB (thread control block).",0
375,1,"What do multiple threads in the same process share?","Heap, file descriptors, code, static data.",0
376,1,"What do threads in a process NOT share?","Registers and stack.",0
377,1,"What can happen with thread stacks if one goes into a deep recursion?","One thread's stack can grow into another thread's stack and write over it. A guard page can help to protect from that.",0
378,1,"What can cause a thread to give control back to the dispatcher?","Thread returns control voluntarily (yield, requesting I/O (which blocks), wait for signal from another thread) or gets preempted by an interrupt.",0
379,1,"How long does it take to do a process context switch?","3-4 microseconds.",0
380,1,"How long does it take to perform a thread context switch?",100ns,0
381,1,"How often do context switches happen?","Every 10-100 ms.",0
382,1,"Context switch time increases sharply with the size of what? (by 100x or more.)","The working set - the subset of memory used by the process in a time window. Cache etc.",0
383,1,"What happens in a system call to get the OS to switch to kernel mode?","A trap.",0
384,1,"How many threads should you run per process?","One per core.",0
385,1,"How is concurrency accomplished?","By multiplexing CPU time.",0
386,1,"What's the difference between parallelism and concurrency?","Concurrency means running multiple blocks of instructions independently. Parallelism means running instructions at the same time, as on multiple cores at once.",0
387,1,"What is oversubscription?","Spawning more threads than available cores.",0
388,1,"What is a race condition?","When the outcome of a deterministic procedure becomes non-deterministic based on differences in subprocess timing.",0
389,1,"What can you put in place to exclusively use a resource without another process interfering?","A mutex, or even better, a lock guard.",0
391,1,"How do you use a mutex in Python?","import threading

lock = threading.Lock()

[first process]
global lock
lock.release()
...
[other process]
global lock
lock.acquire() // attempts to get access, waits if it can't",0
392,1,"What does a future do?","Allows us to receive a return value from a function in a child thread.",0
393,1,"What is a promise?","A promise to send a parameter to a child thread's function later.",0
394,1,"What is livelock?","It occurs when multiple processes are attempting to deal with the current state, but neither makes progress. This can happen when a system is attempting to resolve a deadlock situation but another or the same process continue to trigger it.
Starvation is another example.",0
395,1,"How long does a terminated process stay in the terminated state?","Until the parent process does a wait to receive its exit code.",0
396,1,"In Python, what can you use to fork a process?","The multiprocessing module. It supports process Pool and Process for making a pool of worker processes or forking temporary subprocesses.",0
397,1,"What does the concurrent.futures module offer?","ThreadPoolExecutor
ProcessPoolExecutor
Executor objects
Future objects",0
398,1,"What is an interrupt?","A hardware-invoked context switch. The interrupt handler always runs immediately.",0
399,1,"What happens during an interrupt?","The currently running process' state is saved. We switch to kernel mode, the interrupt handler runs, and once its complete, the system goes back to user mode and the process continues.",0
400,1,"What really happens when you fork a process?","A fork doesn't copy everything, it just duplicates the page table pointers, which are all set at read-only. Called copy-on-write. Once you write to memory, then it copies the state.",0
401,1,"What is multiprocessing?","Parallel execution on multiple cores.",0
402,1,"What does a PCB contain?","Everything about a process:
- status
- register state (when not in ready state)
- PID, User, Executable, Priority
- Execution time
- Memory space, translation",0
403,1,"What is special about an interrupt handler?","It disables interrupts and runs to completion.",0
404,1,"What are the five states a process can be in?","- new (when being created)
- ready
- running
- waiting (for I/O or event coordination)
- terminated (waits for parent process to receive its exit code)",0
405,1,"What is the difference between filter() and map()?","Filter uses a function that returns true or false (predicate).
Map uses a function that returns a value.",0
406,1,"What is synchronization?","Using atomic operations to ensure cooperation between threads.",0
407,1,"What is a critical section?","A block of code that you lock before entering, then unlock when leaving. This creates a mutual exclusion on shared data.",0
408,1,"What is the priority inversion problem?","A thread that is busy-waiting for a lock to be released ends up stealing CPU and getting a higher priority than the thread with the lock. SO since the waiting thread gets higher priority, the thread holding the lock can't complete and release the lock.",0
409,1,"What is busy-waiting?","One or more threads is using a lot of CPU by continuously checking a value, or test&set() checking and writing a value in wiating for a lock to release, thus stealing CPU from the thread holding the lock.",0
410,1,"What is a semaphore?","A semaphore (defined by Dijkstra) is kind of signaling solution for handling concurrency data integrity problems that arise in multi-threaded applications. It has a non-negative integer that supports 2 operations:
- P() [proberen, to test/probe] - atomic operation that waits for semaphore to become > 1, then decrements it by 1 (wait)
- V() [verhogen, to increment] - an atomic operation that increments the semaphore by 1, waking up any P (signal)

The initial semaphore value will determine how many threads can run in the critical section at once.",0
411,1,"What's another name for a mutual exclusion?","Binary semaphore.",0
412,1,"What is a monitor?","A lock and zero or more condition variables for managing concurrent access to shared data.",0
413,1,"What should locks and condition variables each be used for?","locks - mutual exclusion
condition variables - scheduling constraints",0
414,1,"What is a condition variable?","A queue of threads waiting for access to something in a critical section.",0
415,1,"What is a special feature of condition variables?","It allows sleeping inside a critical section by atomically releasing lock at the time we sleep.",0
416,1,"What are the 3 methods on a condition variable?","wait(&lock)
signal() - signals the next waiting member
broadcast() - signals all waiting members",0
417,1,"What type of scheduling do most modern processors use?",Mesa-scheduling.,0
418,1,"What are some things the scheduler tries to accomplish?","- minimize response time
- maximize throughput
- fairness",0
419,1,"What is a drawback of context switching?","CPU cache misses as thread comes back from switching and finds the CPU cache doesn't have the values it had before.",0
420,1,"What's the convoy effect?","Short processes get stuck behind long processes in a FIFO style ready queue.",0
421,1,"What is the round robin scheduling scheme?","Each process gets a time quantum q milliseconds to run. 10-100ms, the q is tunable. Each process runs for that time slice (or until completion if close to done) and then goes back on the ready queue.",0
422,1,"What are pros of the round-robin scheduling scheme?","- better for short jobs (they fit in the time slice)
- fair",0
423,1,"What is a con of the round-robin scheduling scheme?","Long jobs take longer because context-switching time adds up.",0
424,1,"How long does context switching take?","0.1ms - 1ms
It's roughly 1% overhead.",0
425,1,"What is starvation?","When low-priority jobs never get run because there are always higher priority jobs running.",0
426,1,"How does a process' priority get changed?","The scheduler utilizes heuristics on interactivity, locking, burst behavior, etc.",0
427,1,"What are some methods of avoiding deadlock?","- don't allow waiting for a resource (means a lot of retries)
- make all threads request everything they'll need at the beginning
- force all threads to request resources in a particular order preventing any cyclic uses of resources (so no cycle exists)
- temporarily expand resources when a deadlock is detected",0
428,1,"What is the banker's algorithm for preventing deadlock?","- allocate resources dynamically
- evaluate each request and grant if some ordering of threads is still deadlock-free afterward
- do so by pretending the request was granted, then running a simulation to see if a deadlock would occur",0
429,1,"How does the banker's algorithm solve the dining lawyers problem?","When you try to grab a chopstick, it's either:
- not the last chopstick
- is last chopstick but someone else will have two afterwards",0
430,1,"Does the CPU use virtual addresses or physical addresses?","Virtual addresses",0
431,1,"What translates virtual to physical addresses?","The MMU - the memory management unit",0
432,1,"What are the four conditions needed for a deadlock?","- mutual exclusion
- hold and wait
- no preemption
- circular wait",0
433,1,"How many bits represent an IPv4 address?",32,0
434,1,"How many bits represent an IPv6 address?",128,0
435,1,"Name some of the protocols used within the TCP/IP application layer.","- http
- https
- ftp
- tftp
- ntp
- irc
- telnet
- smtp
- ssh
- dns
- snmp
- pop3",0
436,1,"What is NTP?","Network time protocol",0
437,1,"What are some protocols in the TCP/IP transport layer?","- TCP
- UDP",0
438,1,"What are some TCP/IP network layer protocols?","IP - internet protocol
ICMP - internet control message protocol
ARP - address resolution protocol",0
439,1,"What are some TCP/IP network access layer protocols?","- RJ45
- ISDN
- Microwave
- Ethernet
- Wifi
- Fiber optics
- ATM
- RJ48
- Copper cables",0
440,1,"What is a PDU?","Protocol data unit
- generic term used to describe the information at a given layer in the TCP/IP stack",0
441,1,"What is the PDU for OSI layer 7?","data, determined by what information is being exchanged: text, encrypted text, compressed data",0
442,1,"What are the PDUs for the the OSI transport layer?","for TCP, it's called a segment
for UDP, it's called a datagram",0
443,1,"What is the PDU for the TCP/IP internet layer?",packet,0
444,1,"What are the 2 PDUs of the OSI Network Access layer?","data link layer: frames
physical layer: bits",0
445,1,"What is the port for DNS?",53,0
446,1,"What is the port for telnet?",23,0
447,1,"What is the port for ssh?",22,0
448,1,"What is the port range for clients?",8000-65535,0
449,1,"How many bits are in an ethernet frame?","48 bits, represented as a hexadecimal number.",0
450,1,"What does MAC stand for?","medium access control, a sublayer in the data link layer.",0
451,1,"What is the PDU and the addressing at the data link layer?","PDU: frame
Addressing: physical (MAC) address",0
452,1,"What devices are at the data link layer?","Bridges, switches (multi-port bridge). They inspect frames and forward or not.",0
453,1,"What devices are at the Internet/Network layer?","Routers
Layer 3 switches: can be a switch or a router",0
454,1,"What is the PDU and the addressing at the Internet/Network layer?","PDU: packet
Addressing IP address",0
455,1,"What is the PDU and the addressing at the Transport layer?","PDU: segment
addressing: ports",0
456,1,"What devices are at the Transport layer?",Firewalls,0
457,1,"What is a socket in HTTP?","The combination of an IP address and a port.",0
458,1,"What is involved in the 3 way handshake (TCP)?","SYN=1 - synchronize, gives a Seq number and expects that number + 1 in response
ACK=1 - sent by acknowledging server with incremented number, who also sends a SYN=1 and a Seq
SYN=0 ACK=1 and the Seq (incremented number) back to the server

Now you're talking!",0
459,1,"Does Kerberos use symmetric or asymmetric encryption?","Symmetric. It tracks all principals and their keys in its KDC table.",0
460,1,"What are the 7 layers of the OSI model?","- application
- presentation
- session
- transport
- network
- data link
- physical",0
461,1,"What are the 4 layers of TCP/IP?","- application (application, presentation, session in OSI)
- transport
- internet (network in OSI)
- network access (data link & physical in OSI)",0
462,1,"How is an SSL certificate generated by the certificate authority (CA)?","The common name and public key for a given domain name, signed by the certificate authority's secret key.
The browser can verify the cert with CA's public key.",0
463,1,"What is the secure flag on a cookie?","When set on a cookie, it will only be sent on https requests.
When not set, cookie will be sent on both http and https requests.",0
464,1,"When does a Python multi-threaded program terminate?","The entire Python program exits when no alive non-daemon threads are left.",0
465,1,"In Python, if a thread is set to daemon, what happens when the thread sleeps?","If the Python program reaches its end, the thread will be killed even if it's sleeping.",0
466,1,"If a thread is a daemon, what happens when you do a join()?","The main thread will wait for it.",0
467,1,"What does WebRTC stand for?","Web Real-Time Communication",0
468,1,"Give an example of the thread-per-connection pattern.","A web server might spawn a thread per connection, then reuse that thread once the connection ends, or terminate the thread.",0
469,1,"Give an example of the thread pool model.","A pool of threads can be maintained in order to quickly provide one as a resource for a database connection.",0
470,2,"Fibonacci in Python","def fib(n):
    a, b = 1, 1
    for i in range(1, n):
        a, b = b, a + b

    return a",0
471,1,"What is contained in a packet?","- source IP
- destination IP
- data - some portion of the final payload",0
472,1,"What is TLS?","The successor to SSL. All of SSL's versions have been deprecated due to security issues.",0
473,1,"What is the purpose of the transport layer?","To allow multiple applications to use one network connection simultaneously.",0
474,1,"What is DNS spoofing?","A DNS server is compromised and returns incorrect IP addresses for a some domains.",0
475,1,"What does TCP stand for?","Transmission Control Protocol",0
476,1,"What is special about TCP?","It manages the sending and receiving of packet data.
It acknowledges receipt of packets.
If packets are missing, the source will resend the missing packets.",0
477,1,"What is HTTP?","The protocol for client-server communication.",0
478,1,"What does UDP stand for?","User Datagram Protocol.",0
479,1,"What is the size of a UDP header?","8 bytes",0
480,1,"What is the size of a TCP header?","20 bytes",0
481,1,"What does ICMP stand for?","Internet Control Messaging Protocol",0
482,1,"What does ICMP allow you to do?","Allows devices to communicate and send errors. Can echo to see if a device is on the network.",0
483,1,"What does SNMP stand for?","Simple Network Management Protocol.",0
484,1,"What does SNMP do?","Gathers info from machines on the network when each box has an SNMP agent installed. Can send a large amount of info about machines, software installed, and machine configuration.",0
485,1,"Do you need to establish a connection before sending data via UDP?","No, it's connectionless.",0
486,1,"Tell me about the checksum in a UDP packet.","It's a 16-bit checksum. It's only mandatory on IPv6",0
487,1,"How many times are packets sent in UDP?",Once.,0
488,1,"What is special about UDP?","It's connectionless, packets are only sent once and not re-sent if dropped. Packets may not arrive in the right order, and there is no ordering mechanism to fix on the receiving end. No congestion control.",0
489,1,"What's special about TCP?","It does a 3-way handshake before data is sent.
Delivery is acknowledged by receiver.
Packets missing within a certain time window are re-requested.
Packets are put in order on receipt.
Congestion control: can delay delivery until network is uncongested.
IPv4 and IPv6: error detection, checksum mandatory.",0
490,1,"What does OSI stand for?","Open Systems Interconnect",0
491,1,"Why was OSI created?","To solve the interoperability problem of having multiple heterogeneous networks.",0
492,1,"Is OSI just a model?",Yes.,0
493,1,"What network protocol won the networking wars?","TCP/IP, based on the OSI model.",0
494,1,"What happens at the Application level of the OSI model?","This is where applications live and they handle data in many forms.",0
495,1,"What happens in the Session layer of the OSI model?","This layer handles configuration of the data:
- encryption
- compression
- translation to and from different character encodings",0
496,1,"What happens at the Session layer of the OSI model?","This layer controls the communication's access via:
- login rights
- permissions
- rights
- roles",0
497,1,"What happens at the Transport layer of the OSI model?","This layer guarantees end-to-end delivery of data:
- packet ordering
- error detection
- acknowledgements",0
498,1,"What happens at the Network layer of the OSI model?","This layer's function is to find the shortest path through the network to the destination network.
Deals with congestion, bandwidth, etc.",0
499,1,"What happens at the Data Link layer of the OSI model?","It decides whose turn it is to talk on the network using bus arbitration methods.
It finds the physical device on the network.",0
500,1,"What happens at the Physical layer of the OSI model?","It's the physical network that deals with the physical transmission of electricity through wire:
- cables
- voltages
- frequencies
- connectors
- bits
- transfer rates
- and much more",0
501,1,"How does HTTP/2 save bandwidth?","Headers are compressed and do not need to send the same headers in a session if they haven't changed.
Servers can send assets referenced in a document without waiting for discrete requests for them.",0
502,1,"How does HTTP/2 improve cache breaking?","A server can send updated assets using server push when it recognizes a file has changed.",0
503,1,"What is the stream parallelism in HTTP/2?","It's fully multiplexed, so it can use 100-1000 streams in a connection.",0
504,1,"Is HTTP/2 binary or textual?","HTTP/2 is a binary protocol.",0
505,1,"How are headers and body treated differently in HTTP/2?","They are split into a header frame and a data frame. Multiple requests can be interleaved in a connection, so a request doesn't block.",0
506,1,"What is priority in HTTP/2?","Different assets can have different priority so that below the fold content can arrive later.",0
507,1,"What is the range of the first octet on a Class A network?","1-126. We don't use 0 or 127.",0
508,1,"How many network IDs are there on a Class A network?","2^7 = 128
First bit is 0, bits 1-7 are network IDs",0
509,1,"How many host IDs are supported on a Class A network?","2^24 = 16 million
There are 8 bits for the network ID, and the remaining 24 bits are for host IDs.
So there are 16 million per network.",0
510,1,"What is the range of the first octet on a Class B network?","128 - 191",0
511,1,"How many network IDs are supported on a Class B network?","2^14 = 16,384
First 2 bits are 10, bits 3-16 are network IDs",0
512,1,"How many host IDs are supported on a Class B network?","2^16 = 65,536
So there are 65,536 per network",0
513,1,"What is the range of the first octet on a Class C network?",192-223,0
514,1,"How many network IDs are supported on a Class C network?","2^21 = 2 million
First 3 bits are 110, bits 4-24 are network IDs",0
515,1,"How many host IDs are supported on a Class C network?","2^8 = 256
There are 256 hosts per network",0
516,1,"What is a class D network reserved for?",Multicasting,0
517,1,"What is unicasting?","Sending a packet from one host to another.",0
518,1,"What does a network ID end in?",0,0
519,1,"What does a broadcast ID end in?",255,0
520,1,"Who does a broadcast address of 255.255.255.255 send to?","All hosts within the network.",0
521,1,"What is a directed broadcast?","It's a broadcast to all hosts within another network.",0
522,1,"What is a limited broadcast address?","The limited broadcast address is the address formed by setting all 32 bits of the IP address to 1 (255.255.255.255). The limited broadcast address is used when an IP node must perform a one-to-everyone delivery on the local network but the network ID is unknown.",0
523,1,"What should you make networks as small as possible?","For:
- security
- maintenance
- management",0
524,1,"How you divide a network?","By subnetting.",0
525,1,"What does a /27 CIDR mean?","The first 27 bits are masked with 1s. The remaining 5 bits are reachable in the subnet.",0
526,1,"What does a /24 CIDR mean?","The first 24 bits of the IP address are masked. Only hosts with addresses in the unmasked portion are reachable.",0
527,1,"What is a block cipher?","A block cipher is a method of encrypting text (to produce ciphertext) in which a cryptographic key and algorithm are applied to a block of data (for example, 64 contiguous bits) at once as a group rather than to one bit at a time.",0
528,1,"What is QUIC?","QUIC is a new transport which reduces latency compared to that of TCP. On the surface, QUIC is very similar to TCP+TLS+HTTP/2 implemented on UDP.",0
529,1,"What is Capsicum?","A sandboxing framework that adds capability-based security to unix-like kernels and denies access to global namespaces.",0
530,1,"What is a global namespace in unixy terms?","aspects of a system that can be accessed from anywhere:
- file paths
- networks
- PIDs",0
531,1,"What is Google Native Client?","Also called NaCl, Native Client is a sandbox for running compiled C and C++ code in the browser efficiently and securely, independent of the user’s operating system.",0
532,1,"What are web sockets?","Full-duplex communication between client and server.",0
533,1,"What is the same-origin policy?","Goal: Two websites should not be able to tamper with each other.
Strategy: each resource is assigned an origin. JS can only access resources from its own origin.
Origin: scheme + hostname + port",0
534,1,"How can 2 origins (let's say 2 frames) communicate?","window.postMessage (HTML5) allows for sending data messages between two windows/frames across domains.",0
535,1,"What is JIT compilation?","JIT compilation, also known as dynamic translation, is compilation done at run-time rather than ahead of time (AOT).",0
536,1,"What is PyPy?","PyPy is a replacement for CPython. It is built using the RPython language that was co-developed with it. RPython is a subset of Python and can be translated to C. The main reason to use it instead of CPython is speed: it runs generally faster due to JIT compilation.
PyPy implements Python 2.7.10. It supports all of the core language, passing the Python test suite (with minor modifications that were already accepted in the main python in newer versions). It supports most of the commonly used Python standard library modules.",0
537,1,"What does SMT stand for?","Satisfiability modulo theories.",0
538,1,"What is an SMT solver?","A satisfiability modulo theories solver solves for large interconnected logic formulas to determine if a given formula can be satisfied. These are helpful for determining the outcome or inputs for a program using symbolic execution.",0
539,1,"How do we find that a condition exists that will cause a program to have a predicted outcome?","Using an SAT solver (using logic tests) and an SMT solver (that plugs in numbers), and tells the SAT solver where it got it wrong. They provide feedback in a cycle to each other until a condition can be found.",0
540,1,"What is  transactional memory?","Transactional memory attempts to simplify concurrent programming by allowing a group of load and store instructions to execute in an atomic way. It is a concurrency control mechanism analogous to database transactions for controlling access to shared memory in concurrent computing.",0
541,1,"What is software transactional memory?","Software transactional memory provides transactional memory semantics in a software runtime library or the programming language, and requires minimal hardware support (typically an atomic compare and swap operation, or equivalent). As the downside, software implementations usually come with a performance penalty, when compared to hardware solutions.",0
542,1,"Does PyPY have a GIL?","Yes. The GIL is very difficult to remove. You can use pypy-stm instead, which uses software transactional memory, but will suffer a performance penalty.",0
543,1,"How can a server deal with a SYN flood attack?","When it detects a large number of SYN packets at once, or the size of its SN (sequence number) data structure reaches a certain threshold of entries, it can switch to a stateless version, where it send SN responses as signed values with a timestamp, and if it receives one back it lets them through without needing a lookup table.",0
544,1,"What is a stack canary?","It's a buffer overflow defense where a random value is pushed onto the stack after the saved EBP, and before tearing down the stack frame, the value is checked. Any buffer flow targeting the return instruction pointer would have to have overwritten this value.",0
545,1,"What type of buffer overflow protection does gcc and Visual Studio employ?","They use a stack check guard of bytes before and after the buffer's allocated memory. Once values are written to the buffer, the bytes are checked to ensure they are still the same.",0
546,1,"What is scalability?","Scalability is the measure to which a system can adapt to a change in demand for resources, without negatively impacting performance.",0
547,1,"What is Akka?","An open source project that provides a simpler, single programming model - one way of coding for concurrent and distributed applications - the actor programming model.
Akka’s primary goal is to make it simpler to build applications that are deployed in the cloud or run on devices with many cores and that efficiently leverage the full capacity of the computing power available. It’s a toolkit that provides an actor model, runtime, and required supporting tools for building scalable applications.",0
